"NAME","LOCUS","LENGTH","CHECKV_QUALITY","gene_position","start_position","end_position","strandedness","rank","ko_id","kegg_hit","viral_id","viral_hit","viral_RBH","viral_identity","viral_bitScore","viral_eVal","peptidase_id","peptidase_family","peptidase_hit","peptidase_RBH","peptidase_identity","peptidase_bitScore","peptidase_eVal","pfam_hits","cazy_id","cazy_hits","vogdb_id","vogdb_hits","vogdb_categories","heme_regulatory_motif_count","virsorter_category","auxiliary_score","is_transposon","amg_flags","EC_ANNOTATION","PHROG","PHROG_ANNOTATION"
"DNA_vOTU_1942","SAGEDEP_031852",15531,"Low-quality",22,10603,11565,1,"C","K01218","mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Glycosyl hydrolase family 26 [PF02156.18]","GH26","GH26 beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)","","","",0,2,2,FALSE,"MF","","",""
"DNA_vOTU_2182","SAGEDEP_036273",121934,"Medium-quality",3,1375,2796,1,"C","K02004","putative ABC transport system permease protein","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"MacB-like periplasmic core domain [PF12704.10]; FtsX-like permease family [PF02687.24]","","","","","",0,2,3,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_2240","SAGEDEP_037565",301680,"High-quality",319,297530,298795,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Dolichyl-phosphate-mannose-protein mannosyltransferase [PF13231.9]","GT83","GT83 undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.43); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-)","","","",0,2,1,FALSE,"MTF","","","Hypothetical protein"
"DNA_vOTU_2212","SAGEDEP_036717",15045,"Low-quality",5,4397,5170,1,"C","K08744","cardiolipin synthase (CMP-forming) [EC:2.7.8.41]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"CDP-alcohol phosphatidyltransferase [PF01066.24]","","","","","",0,2,2,FALSE,"MKF","","phrog_32003","Hypothetical protein"
"DNA_vOTU_2231","SAGEDEP_037109",23885,"Low-quality",38,19466,20548,1,"D","","","YP_007237926.1","YP_007237926.1 glycosyl transferase [Tetrasphaera phage TJE1]",FALSE,0.234,65,2.33e-10,"","","",NA,NA,NA,NA,"Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]","","","VOG00087","sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335; Xh","Xh",0,1,2,FALSE,"MKF","","phrog_2170","glycosyltransferase"
"DNA_vOTU_2231","SAGEDEP_037111",23885,"Low-quality",40,21471,22079,1,"D","","","YP_009465757.1","YP_009465757.1 hypothetical protein C5Y57_gp040 [Dishui lake phycodnavirus 1]",FALSE,0.285,66,2e-11,"","","",NA,NA,NA,NA,"Methyltransferase domain [PF13578.9]; Cephalosporin hydroxylase [PF04989.15]; O-methyltransferase [PF01596.20]","","","","","",0,2,2,FALSE,"MKF","","","Hypothetical protein"
"DNA_vOTU_2166","SAGEDEP_035933",15587,"Low-quality",11,3039,4046,-1,"D","","","YP_009986319.1","YP_009986319.1 hypothetical protein JR324_gp199 [Escherichia phage nieznany]",FALSE,0.237,71,3.4e-12,"","","",NA,NA,NA,NA,"Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13524.9]; Glycosyl transferases group 1 [PF13692.9]","","","","","",0,1,2,FALSE,"MKF","","phrog_7162","glycosyltransferase"
"DNA_vOTU_2493","SAGEDEP_043738",15385,"Low-quality",20,10857,11555,1,"D","","","YP_655876.1","YP_655876.1 hypothetical protein Wildcat_11 [Mycobacterium phage Wildcat]",FALSE,0.28,75,2.66e-14,"","","",NA,NA,NA,NA,"Methyltransferase domain [PF13578.9]; Methyltransferase domain [PF13847.9]; Cephalosporin hydroxylase [PF04989.15]; O-methyltransferase [PF01596.20]","","","VOG25329","sp|Q9AJU2|ELMM1_STROV 8-demethyl-8-alpha-L-rhamnosyl tetracenomycin-C 2'-O-methyltransferase; Xh","Xh",0,1,2,FALSE,"MKF","","",""
"DNA_vOTU_2493","SAGEDEP_043740",15385,"Low-quality",22,11740,13314,1,"D","","","YP_009012496.1","YP_009012496.1 Phi92_gp164 [Enterobacteria phage phi92]",FALSE,0.243,87,1.06e-16,"","","",NA,NA,NA,NA,"Methyltransferase domain [PF13578.9]; Glycosyl transferases group 1 [PF00534.23]; Macrocin-O-methyltransferase (TylF) [PF05711.14]; Glycosyl transferases group 1 [PF13692.9]","","","VOG03504","REFSEQ hypothetical protein; Xu","Xu",0,1,2,FALSE,"MKF","","phrog_7162","glycosyltransferase"
"DNA_vOTU_2442","SAGEDEP_042338",10659,"Low-quality",5,2244,4181,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Methyltransferase FkbM domain [PF05050.15]; Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]","GT4","GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342)","VOG01100","REFSEQ hypothetical protein; Xu","Xu",0,1,2,FALSE,"MKF","","phrog_2170","glycosyltransferase"
"DNA_vOTU_2337","SAGEDEP_039311",63544,"Medium-quality",4,3957,5906,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Concanavalin A-like lectin/glucanases superfamily [PF13385.9]","","","","","",0,2,2,FALSE,"MKF","","","Hypothetical protein"
"DNA_vOTU_2556","SAGEDEP_045368",13471,"Low-quality",5,2330,2815,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"2OG-Fe(II) oxygenase superfamily [PF13532.9]","","","","","",0,2,2,FALSE,"MKF","","phrog_21963","alkylated DNA repair"
"DNA_vOTU_2516","SAGEDEP_044298",375643,"High-quality",4,3879,5183,1,"C","K01465","dihydroorotase [EC:3.5.2.3]","","",NA,NA,NA,NA,"MER0132316","M38","MER0132316 - family M38 non-peptidase homologues (Conexibacter woesei) [M38.UNW]#M38#{peptidase unit: 15-395}~source GEBA2500366896~",TRUE,0.567,414,6.73e-127,"Dihydro-orotase-like [PF12890.10]; Amidohydrolase family [PF01979.23]","","","","","",0,2,2,FALSE,"MPF","","",""
"DNA_vOTU_2342","SAGEDEP_039794",73325,"High-quality",76,68809,70824,1,"D","","","YP_009834212.1","YP_009834212.1 cobalamin dependent ribonucleotide reductase [Lentibacter virus vB_LenP_ICBM2]",FALSE,0.286,236,9.94e-64,"","","",NA,NA,NA,NA,"Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase alpha domain [PF17975.4]","","","","","",0,1,2,FALSE,"MKEF","","",""
"DNA_vOTU_2633","SAGEDEP_046739",116231,"Low-quality",95,110794,111537,1,"C","K01990","ABC-2 type transport system ATP-binding protein","YP_009909519.1","YP_009909519.1 Manganese ABC transporter, ATP-binding protein SitB [Escherichia virus Lambda_1H12]",FALSE,0.288,104,1.05e-23,"","","",NA,NA,NA,NA,"ABC transporter [PF00005.30]","","","VOG10397","sp|P44662|Y361_HAEIN Probable iron transport system ATP-binding protein HI_0361; Xh","Xh",0,1,3,FALSE,"MF","","","putative multidrug ABC transporter ATP-binding protein YbhF"
"DNA_vOTU_2674","SAGEDEP_047182",16146,"Low-quality",6,3051,4013,-1,"C","K01711","GDPmannose 4,6-dehydratase [EC:4.2.1.47]","NP_048466.1","NP_048466.1 GDP-D-mannose dehydratase [Paramecium bursaria Chlorella virus 1]",FALSE,0.449,271,7.18e-80,"","","",NA,NA,NA,NA,"GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; NAD(P)H-binding [PF13460.9]","","","VOG00276","sp|P27830|RMLB2_ECOLI dTDP-glucose 4,6-dehydratase 2; Xh","Xh",0,2,2,FALSE,"MKF","","",""
"DNA_vOTU_2677","SAGEDEP_047261",14915,"Low-quality",12,9345,9917,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Methyltransferase domain [PF13578.9]; O-methyltransferase [PF01596.20]","","","","","",0,2,2,FALSE,"MKF","","phrog_2675","DNA methyltransferase"
"DNA_vOTU_2607","SAGEDEP_046191",15114,"Low-quality",12,4984,5727,1,"C","K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]","YP_010001631.1","YP_010001631.1 DNA methylase [Gordonia phage JKSyngboy]",FALSE,0.428,132,2.19e-33,"","","",NA,NA,NA,NA,"C-5 cytosine-specific DNA methylase [PF00145.20]","","","VOG00135","sp|P34877|MTSA_LACLC Modification methylase ScrFIA; XhXp","Xh;Xp",0,1,3,FALSE,"MF","","phrog_363","DNA methyltransferase"
"DNA_vOTU_2746","SAGEDEP_048184",12546,"Low-quality",10,6441,10190,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","CBM66","CBM66 The CBM66 module, derived from the Bacillus subtilis exo-acting beta-fructosidase SacC, targets the terminal fructoside residue of fructans.","","","",0,2,2,FALSE,"MF","","phrog_24476","phosphodiesterase"
"DNA_vOTU_2800","SAGEDEP_049345",12742,"Low-quality",8,3991,5013,1,"C","K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]","YP_001498593.1","YP_001498593.1 hypothetical protein AR158_C512R [Paramecium bursaria Chlorella virus AR158]",FALSE,0.266,121,1.16e-28,"","","",NA,NA,NA,NA,"C-5 cytosine-specific DNA methylase [PF00145.20]","","","VOG00135","sp|P34877|MTSA_LACLC Modification methylase ScrFIA; XhXp","Xh;Xp",0,2,3,FALSE,"MF","","",""
"DNA_vOTU_2805","SAGEDEP_049462",23349,"Low-quality",29,18479,22375,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Cellulase (glycosyl hydrolase family 5) [PF00150.21]","","","","","",0,2,2,FALSE,"MKEF","","","Hypothetical protein"
"DNA_vOTU_2728","SAGEDEP_047820",17696,"Low-quality",7,4876,5886,1,"C","K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]","YP_001883390.1","YP_001883390.1 ribonucleoside diphosphate reductase small subunit, rr2 [Musca domestica salivary gland hypertrophy virus]",FALSE,0.372,204,1.12e-56,"","","",NA,NA,NA,NA,"Ribonucleotide reductase, small chain [PF00268.24]","","","VOG00878","sp|P69924|RIR2_ECOLI Ribonucleoside-diphosphate reductase 1 subunit beta; XhXr","Xh;Xr",0,2,3,FALSE,"VMKEF","","",""
"DNA_vOTU_2821","SAGEDEP_049799",196080,"High-quality",4,2231,3397,1,"C","K04127","isopenicillin-N epimerase [EC:5.1.1.17]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Aminotransferase class-V [PF00266.22]; Orn/Lys/Arg decarboxylase, major domain [PF01276.23]","","","","","",0,2,3,FALSE,"MKTF","","",""
"DNA_vOTU_3157","SAGEDEP_054169",25603,"Low-quality",6,2083,3039,1,"D","","","YP_009985295.1","YP_009985295.1 putative dTDP-glucose 4,6-dehydratase [Escherichia phage alia]",FALSE,0.298,147,2.07e-37,"","","",NA,NA,NA,NA,"GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; RmlD substrate binding domain [PF04321.20]; Polysaccharide biosynthesis protein [PF02719.18]; Male sterility protein [PF07993.15]; KR domain [PF08659.13]; short chain dehydrogenase [PF00106.28]","","","VOG00276","sp|P27830|RMLB2_ECOLI dTDP-glucose 4,6-dehydratase 2; Xh","Xh",0,1,3,FALSE,"MKF","","",""
"DNA_vOTU_3157","SAGEDEP_054174",25603,"Low-quality",11,4856,5950,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Reversibly glycosylated polypeptide [PF03214.16]","GT75","GT75 UDP-Glc: self-glucosylating beta-glucosyltransferase (EC 2.4.1.-); UDP-L-arabinopyranose mutase (EC 5.4.99.-)","","","",0,2,3,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_3215","SAGEDEP_055072",33928,"Low-quality",44,28764,30311,-1,"D","","","YP_009274262.1","YP_009274262.1 minor tail protein [Gordonia phage Orchid]",FALSE,0.293,169,4.68e-43,"","","",NA,NA,NA,NA,"Polysaccharide deacetylase [PF01522.24]","CE4","CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).","","","",0,2,3,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_3391","SAGEDEP_057381",71332,"Medium-quality",68,67891,68115,-1,"C","K02909","large subunit ribosomal protein L31","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Ribosomal protein L31 [PF01197.21]","","","","","",1,2,3,FALSE,"MF","","","50S ribosomal protein L31"
"DNA_vOTU_3310","SAGEDEP_056323",20484,"Low-quality",4,4300,5079,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08242.15]; Nodulation protein S (NodS) [PF05401.14]; Methionine biosynthesis protein MetW [PF07021.15]; Mycolic acid cyclopropane synthetase [PF02353.23]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.16]; Protein of unknown function (DUF1698) [PF08003.14]; Tellurite resistance protein TehB [PF03848.17]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Methyltransferase small domain [PF05175.17]; Thiopurine S-methyltransferase (TPMT) [PF05724.14]; O-methyltransferase domain [PF00891.21]; short chain dehydrogenase [PF00106.28]; Methyltransferase domain [PF13679.9]; 16S rRNA methyltransferase RsmB/F [PF01189.20]; Histidine-specific methyltransferase, SAM-dependent [PF10017.12]","","","","","",0,2,1,FALSE,"MKF","","phrog_4752","tRNA methyltransferase"
"DNA_vOTU_3421","SAGEDEP_057720",17697,"Not-determined",12,12351,14786,-1,"D","","","","",NA,NA,NA,NA,"MER0085931","S01A","MER0085931 - subfamily S1A non-peptidase homologues (Salinispora tropica) [S01.UNA]#S01A#{peptidase unit: 13-345}~source EAU20528~",FALSE,0.271,70,1.33e-10,"BNR repeat-like domain [PF13088.9]; FG-GAP-like repeat [PF13517.9]","GH33","GH33 sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.-); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-)","","","",0,2,2,FALSE,"MPF","","","Hypothetical protein"
"DNA_vOTU_3268","SAGEDEP_055632",11309,"Low-quality",2,668,1630,-1,"D","","","YP_009986823.1","YP_009986823.1 putative dTDP-glucose 4,6-dehydratase [Escherichia phage ukendt]",FALSE,0.222,87,1.28e-17,"","","",NA,NA,NA,NA,"GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; RmlD substrate binding domain [PF04321.20]; NAD(P)H-binding [PF13460.9]; Polysaccharide biosynthesis protein [PF02719.18]; NmrA-like family [PF05368.16]; KR domain [PF08659.13]; Male sterility protein [PF07993.15]; short chain dehydrogenase [PF00106.28]","","","VOG00276","sp|P27830|RMLB2_ECOLI dTDP-glucose 4,6-dehydratase 2; Xh","Xh",0,2,2,FALSE,"MKF","","",""
"DNA_vOTU_3268","SAGEDEP_055633",11309,"Low-quality",3,1641,2345,-1,"C","K00737","beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]","YP_009174667.1","YP_009174667.1 putative glycosyltransferase [Yellowstone lake phycodnavirus 2]",FALSE,0.285,80,5.35e-16,"","","",NA,NA,NA,NA,"Glycosyltransferase family 17 [PF04724.16]","GT17","GT17 beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.144).","","","",0,2,2,FALSE,"MKF","",NA,NA
"DNA_vOTU_3276","SAGEDEP_055818",13613,"Low-quality",19,11191,12531,-1,"C","K01945","phosphoribosylamine---glycine ligase [EC:6.3.4.13]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain [PF01071.22]; Phosphoribosylglycinamide synthetase, C domain [PF02843.19]","","","","","",0,2,2,FALSE,"MF","","",""
"DNA_vOTU_3503","SAGEDEP_058615",89752,"Medium-quality",80,85738,86028,1,"C","K02990","small subunit ribosomal protein S6","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Ribosomal protein S6 [PF01250.20]","","","","","",0,2,3,FALSE,"MF","","","30S ribosomal protein S6"
"DNA_vOTU_3503","SAGEDEP_058617",89752,"Medium-quality",82,86590,86826,1,"C","K02963","small subunit ribosomal protein S18","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Ribosomal protein S18 [PF01084.23]","","","","","",0,2,3,FALSE,"MF","","","30S ribosomal protein S18 1"
"DNA_vOTU_3503","SAGEDEP_058618",89752,"Medium-quality",83,86840,87286,1,"C","K02939","large subunit ribosomal protein L9","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Ribosomal protein L9, C-terminal domain [PF03948.17]; Ribosomal protein L9, N-terminal domain [PF01281.22]","","","","","",0,2,3,FALSE,"MF","","","50S ribosomal protein L9"
"DNA_vOTU_3765","SAGEDEP_061612",62507,"High-quality",60,56416,57918,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Amidohydrolase [PF04909.17]","","","","","",0,2,2,FALSE,"MKTF","","","Hypothetical protein"
"DNA_vOTU_3713","SAGEDEP_061079",47130,"Low-quality",44,44577,44801,-1,"C","K02909","large subunit ribosomal protein L31","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Ribosomal protein L31 [PF01197.21]","","","","","",1,2,3,FALSE,"MF","","","50S ribosomal protein L31"
"DNA_vOTU_3667","SAGEDEP_060636",16970,"Not-determined",9,11679,12602,1,"C","K00615","transketolase [EC:2.2.1.1]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Transketolase, pyrimidine binding domain [PF02779.27]; Transketolase, C-terminal domain [PF02780.23]","","","","","",0,2,3,FALSE,"MKF","","",""
"DNA_vOTU_4333","SAGEDEP_066954",25820,"Low-quality",16,20192,21250,-1,"D","","","YP_009619976.1","YP_009619976.1 UDP-glucose 4-epimerase [Stenotrophomonas phage vB_SmaS_DLP_5]",FALSE,0.23,74,3.98e-13,"","","",NA,NA,NA,NA,"GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; NmrA-like family [PF05368.16]; Polysaccharide biosynthesis protein [PF02719.18]; NAD(P)H-binding [PF13460.9]","","","VOG00276","sp|P27830|RMLB2_ECOLI dTDP-glucose 4,6-dehydratase 2; Xh","Xh",0,1,2,FALSE,"MKF","","",""
"DNA_vOTU_4333","SAGEDEP_066955",25820,"Low-quality",17,21264,21989,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"short chain dehydrogenase [PF00106.28]; Enoyl-(Acyl carrier protein) reductase [PF13561.9]","","","","","",0,2,2,FALSE,"MKF","","",""
"DNA_vOTU_4333","SAGEDEP_066957",25820,"Low-quality",19,22965,24290,-1,"D","","","","",NA,NA,NA,NA,"MER0491564","M28A","MER0491564 - subfamily M28A non-peptidase homologues (Clostridium acetobutylicum) [M28.UNA]#M28A#{peptidase unit: 180-345}~source Q97H19~",FALSE,0.574,184,3.44e-48,"Domain of unknown function (DUF4910) [PF16254.8]; Domain of unknown function (DUF2172) [PF09940.12]; winged helix-turn-helix [PF16221.8]; Peptidase family M28 [PF04389.20]","","","","","",1,2,2,FALSE,"MF","","","Putative polysaccharide biosynthesis protein with aminopeptidase-like domain protein"
"DNA_vOTU_4335","SAGEDEP_067011",31095,"Low-quality",13,4846,6672,-1,"C","K21000","polysaccharide biosynthesis protein PslG","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Cellulase (glycosyl hydrolase family 5) [PF00150.21]; Concanavalin A-like lectin/glucanases superfamily [PF13385.9]; Glycosyl hydrolase catalytic core [PF11790.11]","GH5","GH5 endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC 3.2.1.39); beta-N-acetylhexosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132); beta-D-galactofuranosidase (EC 3.2.1.146); beta-galactosylceramidase (EC 3.2.1.46); ; beta-rutinosidase /alpha-L-rhamnose-(1,6)-beta-D-glucosidase (EC 3.2.1.-); alpha-L-arabinofuranosidase (EC 3.2.1.55)","","","",0,2,2,FALSE,"MKEF","","phrog_3545","Hypothetical protein"
"DNA_vOTU_4290","SAGEDEP_066564",10451,"Low-quality",3,2903,4030,-1,"C","K00508","linoleoyl-CoA desaturase [EC:1.14.19.3]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Fatty acid desaturase [PF00487.27]","","","","","",0,2,2,FALSE,"MKF","","","Hypothetical protein"
"DNA_vOTU_4265","SAGEDEP_066348",43554,"Not-determined",37,37845,39197,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Pyridoxal-phosphate dependent enzyme [PF00291.28]","","","","","",0,2,3,FALSE,"MKF","","","Hypothetical protein"
"DNA_vOTU_4537","SAGEDEP_070314",53077,"Low-quality",4,3215,4753,-1,"C","K01951","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]","","",NA,NA,NA,NA,"MER0442948","C26","MER0442948 - GMP synthase (Frankia sp. CN3) [C26.957]#C26#{peptidase unit: 11-236}~source ZP_09172661~",FALSE,0.688,307,9.02e-89,"GMP synthase C terminal domain [PF00958.25]; Glutamine amidotransferase class-I [PF00117.31]; NAD synthase [PF02540.20]; Peptidase C26 [PF07722.16]; Thiamine biosynthesis protein (ThiI) [PF02568.17]; Queuosine biosynthesis protein QueC [PF06508.16]; tRNA methyl transferase HUP domain [PF03054.19]","","","","","",0,2,3,FALSE,"MKPF","","",""
"DNA_vOTU_4537","SAGEDEP_070315",53077,"Low-quality",5,4761,5918,-1,"D","","","YP_009173395.1","YP_009173395.1 guanosine 5'-monophosphate oxidoreductase/ ou inosine monophosphate dehydrogenase [Chrysochromulina ericina virus]",FALSE,0.295,85,1.27e-16,"","","",NA,NA,NA,NA,"IMP dehydrogenase / GMP reductase domain [PF00478.28]; FMN-dependent dehydrogenase [PF01070.21]; Conserved region in glutamate synthase [PF01645.20]","","","VOG13318","sp|Q9NJD8|GMPR_ONCVO GMP reductase; Xh","Xh",0,2,3,FALSE,"MKF","","",""
"DNA_vOTU_4457","SAGEDEP_068909",122550,"Medium-quality",91,118928,119803,-1,"C","K21062","1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Dihydrodipicolinate synthetase family [PF00701.25]","","","","","",0,2,2,FALSE,"MKTF","","",""
"DNA_vOTU_4456","SAGEDEP_068814",57376,"Medium-quality",108,53821,55296,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Concanavalin A-like lectin/glucanases superfamily [PF13385.9]","","","","","",0,2,2,FALSE,"MKF","","phrog_8510","virion structural protein"
"DNA_vOTU_4589","SAGEDEP_070943",10695,"Not-determined",5,2054,2608,1,"C","K01495","GTP cyclohydrolase IA [EC:3.5.4.16]","YP_009600207.1","YP_009600207.1 putative GTP cyclohydrolase [Dinoroseobacter phage vB_DshS-R5C]",FALSE,0.473,149,2.26e-40,"","","",NA,NA,NA,NA,"GTP cyclohydrolase I [PF01227.25]","","","VOG06341","sp|A4J5D0|GCH1_DESRM GTP cyclohydrolase 1; Xh","Xh",0,1,3,FALSE,"MKF","","",""
"DNA_vOTU_4589","SAGEDEP_070944",10695,"Not-determined",6,2605,3309,1,"C","K06920","7-cyano-7-deazaguanine synthase [EC:6.3.4.20]","YP_009949759.1","YP_009949759.1 QueC-like queosine biosynthesis protein [Mycobacterium phage Quesadilla]",FALSE,0.5,208,7.86e-60,"","","",NA,NA,NA,NA,"Queuosine biosynthesis protein QueC [PF06508.16]","","","VOG00900","sp|Q1GEY7|QUEC_RUEST 7-cyano-7-deazaguanine synthase; Xh","Xh",0,1,3,FALSE,"MKF","","",""
